"Unit - Thousand Barrels per day (kb/d)"
"Product - Crude oil"
"BALANCE - Production"

Time,"Aug2019","Sep2019","Oct2019","Nov2019","Dec2019","Jan2020","Feb2020","Mar2020","Apr2020","May2020","Jun2020","Jul2020","Aug2020","Sep2020","Oct2020"
"Korea",0.4755,0.2457,0.2377,0.2457,0.4755,0.4755,0.5083,0.4755,0.4913,0.4755,0.4913,0.2377,0.2377,0,0
"Kuwait",2605,2650,2633,2706,2711,2660,0,0,0,0,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Libya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lithuania",0.9419,0.73,0.7065,0.73,0.7065,0.7065,0.7552,0.7065,0.73,0.7065,0.4867,0.471,0.7065,0.73,0.7065
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The former Yugoslav Rep. of Macedonia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malaysia",544.7484,569.7467,602.6065,632.0667,606.7742,624.6710000000001,584.6759,601.3806,504.64,492.529,500.5867,516.8,525.871,517.8133,523.9097
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mauritius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",1721.8103,1744.512,1693.7187,1734.836,1744.649,1759.951,1765.1172,1784.8452,1755.368,1685.2684,1660.968,1652.1523,1690.9781,1701.796,0
"Moldova",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myanmar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands",12.579,12.2893,15.781,16.5433,13.0365,14.6374,14.669,14.8661,15.1253,11.2068,12.9983,14.18,13.9513,14.889,14.4087
"New Zealand",28.3239,27.1,22.8165,21.68,19.9316,20.7184,21.0259,17.8335,17.615,18.0958,18.428,17.5713,17.8335,20.054,0
"Nicaragua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Niger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nigeria",2039,2079,2037,1664,1659,1739,1742,1799,1705,1436,1406,1353,1368,1332,1347
"Norway",1375.019,1319.738,1503.3155,1711.9643,1795.4255,1688.8742,1758.8586,1745.17,1798.0993,1768.3648,1569.904,1777.7877,1728.4987,1513.729,1620.0145
"Oman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papua New Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Philippines",11.0102,12.5423,11.1323,12.5423,12.1032,11.7084,12.6276,11.9484,11.8033,13.071,11.3667,0,0,10.9167,0
"Poland",23.8816,15.1487,20.0984,21.0127,18.9161,20.8077,19.9679,20.0984,19.791,19.389,14.66,19.6255,19.8619,13.194,19.1526
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Qatar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Romania",67.7871,69.7965,70.6923,70.7972,69.2397,68.99760000000001,70.13290000000001,68.7555,68.7958,69.2397,68.5457,67.7871,65.3661,66.044,66.33450000000001
"Russian Federation",10772.9806,10666.2,10612.5214,10619.1724,10612.1991,10603.1076,10610.9067,10610.3877,10725.277,8802.8979,8787.8199,8803.4992,9251.9025,9293.08,9325.509700000001
"Saudi Arabia",9789,9129,10302,9890,9594,9748,9784,9733,12007,8486,7484,8479,8984,8982,8974
"Singapore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",0.72,1.24,1.2,1.24,0.72,0.72,1.5393,1.44,0.496,0.24,0.496,0.48,0.24,0.248,0.24
"Sudan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Suriname",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syria (Arab Rep.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tajikistan",0.4755,0.2457,0.2377,0.4913,0.4755,0.4755,0.2541,0.2377,0.2457,0.2377,0.2457,0.2377,0.4755,0.4913,0.4755
"Thailand",221.4662,226.6113,234.4683,237.0737,217.1139,220.9914,222.8236,224.1162,205.8604,196.5008,187.6256,193.9889,199.2096,205.265,0
"Trinidad/Tobago",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunisia",34.481,33.3233,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkey",59.6416,58.8177,57.8274,59.052,58.281,58.0542,58.9066,59.6416,63.27,60.0952,60.2237,61.9094,62.8165,63.973,61.4558
"Ukraine",35.1858,34.3933,34.9481,34.639,33.5216,34.2348,34.5628,34.2348,34.639,33.9971,33.165,33.2839,33.2839,32.9193,0
"United Arab Emirates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",861.84,1001.952,963.5342000000001,1036.224,1009.8697,1056.9368,1037.5448,940.8542,1044.036,941.5858,984.312,917.6865,777.2168,802.872,859.889
"United States of America",12424.7742,12495.2,12672.5484,12859.7667,12802.0968,12744.4194,12743.7241,12716.3548,11989.9333,10001.4516,10436.2,10983.7419,10579.2581,10859.9333,10516.129
"Uruguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",933,749,761,912,907,882,865,718,737,573,393,392,396,397,473
"Vietnam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yemen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
